Species,Weight,Length1,Length2,Length3,Height,Width
Perch,370.14041771033226,17.044541445615618,50.29224279191769,19.505957024416865,4.370719392097179,3.611682989635875
Pike,346.447519974824,36.562934788155054,22.450283345942655,36.06888049839861,17.077297888428554,5.048873272976154
Bream,709.2888069297683,33.77858938810392,18.407754382018453,7.259517843729125,9.397271962119536,4.4663013294193075
Perch,254.65081327248635,30.37623818599875,10.709399156541853,26.073060957492192,6.462022255930543,3.5834959475447112
Smelt,625.9967522399124,15.067241421937538,15.759034101354256,40.464069723376845,3.8889731949355575,2.791854552457986
Bream,429.82170569561254,30.61475111464849,46.29461973615715,12.948672799640661,13.67406810966276,4.511585785536746
Perch,469.2813920853093,27.65609116277289,16.110504254447616,39.99110785362355,11.677989208770947,5.389949906706016
Pike,666.135482509113,27.032047563722298,9.081968732357556,56.016742342732975,9.182856862760902,6.32069264483502
Perch,54.24276479607016,17.0230845637663,11.20318010836386,23.015400124389437,6.365411423909057,4.257506803063439
Whitefish,166.46279856619742,27.80146107219432,27.43463748553068,49.82494409621164,0.4055050494169361,4.977819701803855
Roach,340.0060078852315,13.859846678163821,29.627202437555173,15.643882229690416,6.978211626833334,4.373026801558408
Perch,553.5165974696727,37.17660737354697,17.664331990412084,24.109259905069173,8.195549107050528,7.568417096511391
Smelt,589.6571800229423,35.19903337016144,26.30505195448988,12.034021580274946,10.626498394885333,2.8689985151360577
Smelt,397.7206955071531,12.893942607117877,30.300092523724636,29.63972526301089,6.868165776539357,4.668844377484476
Bream,707.5346628607008,51.05914464298822,34.689440045324304,15.721902518638968,7.308981540021431,5.523458090135954
Pike,419.5394433229012,23.426730714763558,29.254397416078838,31.30878463318371,7.22231312704818,3.716969698838733
Perch,426.58243019628844,33.45597449806438,39.63560209728181,24.436231173465558,9.035699309310912,4.521494920280174
Perch,392.92942017372303,33.71506202299158,44.57873326506544,23.416714413741463,4.6559727743839385,2.250051591183819
Parkki,250.11795844720072,27.43392431868256,28.249504650456238,14.422028271120027,10.436762890550222,3.829703054524259
Pike,981.9525775410743,27.67729523353502,28.44540920686016,22.057465106092152,13.57037135098588,6.175899361266888
Whitefish,196.29460768347238,38.230941037269325,19.183811321312398,26.825335298677103,12.65615878887528,3.48023003940048
Smelt,56.74426557450312,9.669777521396849,46.80352286818642,42.79180829829788,6.437640296392086,2.1730304749824363
Perch,313.62456564341124,21.41474308950722,23.408060607752223,30.380429891067063,7.960717431115672,4.980815193524408
Parkki,539.7092468795124,41.625676459107936,31.542335851029254,40.54982767126364,10.189288471716742,3.478545246319448
Bream,751.553770012856,18.30740151986528,18.72937857768831,44.760889168600784,12.081957823844565,8.339902613355534
Perch,1500.3718798666675,38.82573622339178,30.204134105330844,40.45157281030822,3.355258625224228,3.71375635772196
Perch,650.1671635490569,33.06430977371284,14.668049664882204,25.372078641313735,8.227782563261396,3.9127029956657013
Perch,366.3793176839352,13.545785507434024,24.96681756647362,54.150400326405446,9.28639721219091,2.7795468801206686
Bream,196.48451217337862,23.066318989830155,37.90944654558615,44.633893096957046,1.0373602280234042,4.845823355238992
Perch,356.66160156603763,33.09795351430036,37.14748302341177,23.92925913020313,15.725961790065357,8.761502161864097
Perch,36.169920049918744,13.276779882814516,29.54710604727935,15.718903294133037,6.4772820923395,4.505745011250678
Roach,977.1382770496743,34.57298160830683,17.92912253303996,28.21088418350208,6.554092573315701,1.733396312202037
Bream,249.73485771500896,18.807981523612444,18.809150025955137,15.109738575379737,7.720620253569645,4.534739770660011
Parkki,247.00992154007503,36.160956728697414,28.654068602407374,29.073062334789462,7.058568535698974,6.1573143207648755
Perch,406.1777175336236,11.777636066595534,27.93106724278964,35.06012711091381,9.499787231079127,5.0750670080957105
Bream,169.16318896785447,36.73034000142774,36.92959573120888,29.161249525075625,11.006980418282613,3.9455231461366718
Pike,428.40564943865564,16.096363174057963,34.447611773719544,24.80320607607594,0.18778951156658152,3.480117206164532
Perch,1105.0522842570613,37.40482922498229,21.093158758951514,30.541239718809376,11.863379193750832,7.491437731803242
Roach,423.90401670171923,38.15420344856128,18.970944602436347,28.816664282014752,13.680079897303907,3.2280850866993225
Parkki,333.09744484762086,41.92850539876629,29.99454134069736,12.830404005465482,10.22623441956346,4.935187712800431
Perch,716.4497966734123,25.762717766965018,29.399856526391858,21.95302247740525,6.769657443918566,1.8697442938155646
Perch,455.1664081835588,31.435469450531745,34.55279078924873,42.92047518905754,8.894232496952025,3.529897782985648
Perch,1090.1041339788512,17.551734147710835,24.55865940030383,36.15069555065671,6.365706577274337,8.761168649358098
Pike,1336.1900405489566,18.105841654425184,31.597777006141776,30.41237533172184,7.367211610436403,5.299857793688608
Perch,526.9119916840414,21.55374117376318,46.500591685777565,54.42600751591574,4.486140076424342,4.258018376407832
Smelt,182.1224469525747,16.673404319997825,32.872506161341356,36.578536315230735,5.843329744020458,4.879962090523095
Pike,419.76461578531183,22.30256860733154,32.12196776411317,48.30451188319103,10.102177857526444,5.304808928616949
Perch,483.67107782822666,19.425149860389297,18.81764594108445,29.99062232221893,7.452076496168804,5.559424186791071
Perch,243.29427421553393,30.634358925723042,17.60957639578752,36.2587563497152,0.11891691305718233,3.042074173340767
Whitefish,140.81216870508052,9.112877205543946,18.188551790202578,33.742232061105376,5.1181979400475175,5.190750789168111
Pike,298.3383977587631,29.971760531494322,27.307842247018712,15.841560380342575,1.2863661448625452,2.706638622030612
Pike,129.7089854427221,29.19951105265487,59.88534247679365,26.196000555432803,10.060275081246173,2.462614529204183
Smelt,822.7846961415657,29.272231915083985,11.434525803980094,41.12484945672006,4.999353366139134,3.1097748241253598
Perch,659.5971804759245,26.84205689990904,39.00586588621111,32.53967291882442,6.520283379473702,4.551132139317874
Pike,359.44014761046617,28.715805856370565,32.828158500395396,34.22231881917292,14.473676236673416,3.0263608602167675
Bream,458.11530527984894,16.600349183404948,29.314201039301246,33.67064041597443,4.191147701499564,4.374203214146129
Bream,360.4364714093736,37.78936930441571,31.611799447957825,37.23831461980159,8.565803813029717,4.54704037255966
Perch,506.9118960505892,12.888378851066996,20.86085123247567,22.388394695505376,4.7215788693565575,4.402504310942922
Roach,426.2196350375825,24.627364188173953,29.074237419825927,42.451094629182236,13.097922483906402,4.479657194246105
Bream,438.0690919958335,25.567016587479827,25.790627187222373,23.584491603488296,11.819446936653062,4.389079850801173
Roach,780.0963507752551,24.123426408980826,33.456999377206195,48.39653612468251,13.031388043426027,4.4763444471632825
Perch,305.45790147821447,22.974892021815048,29.254001537327827,40.80904350599293,12.499971456585442,5.479093433339167
Bream,707.2547559999725,0.7375497884840385,42.40058665584059,35.15132108184338,15.848544587323826,5.07731131310451
Perch,318.59040483980607,27.10634498867432,31.69163590030669,45.05321480708692,12.320852214767946,5.723256595234898
Whitefish,1091.7813182428358,10.2893031066666,33.735977175101674,41.35509878762775,7.475979188940271,4.292342367196658
Perch,438.99859954068853,27.92159396896679,26.679409179970044,22.47516113828129,13.592381465458013,4.794497615742149
Perch,214.88821992608007,33.85789723635988,19.773983615040216,24.998551773421614,12.434546678553758,3.623122416076294
Smelt,747.8808439190252,34.06498823244298,23.251667944198932,16.912240977237172,10.873269696695406,3.2570326114764314
Bream,228.33538174684938,37.45705482947681,2.4793373810545702,29.0916893602838,6.288273834603313,2.7508717150444353
Perch,1038.7739675444445,30.883281080572594,41.67591995407133,31.130614748037818,8.688713024924715,3.795603935535618
Perch,303.30380826462425,18.270281980301757,26.821779396109157,44.85013637730344,8.176157715805068,5.845765910537989
Bream,185.2457925342327,51.69592024079738,15.985243416140817,18.77980118343291,9.72675375860017,4.089564703222022
Perch,643.8489755174213,30.136966899952068,10.073077660829963,44.95959212891724,10.010821757211652,4.789825415001748
Perch,55.70812519864393,21.87927529696001,31.869938944537733,19.28715897384772,5.64553061962906,4.436603344042671
Pike,184.83489258264555,30.41101328721915,43.697710168537185,27.459819043622307,8.272292136496542,3.5976157513449847
Smelt,969.6091529963878,35.23328240273731,16.72145925176489,43.564353783833326,8.964228046107742,4.91895060210003
Bream,310.96532610559984,38.11883938811241,36.53123379862338,38.19759087446567,6.943439337190411,5.133438013064993
Perch,340.54556551662495,26.722895424599578,20.295616597752407,35.00071729295934,12.009750180263637,1.3247275005501091
Smelt,386.4315878857629,20.13034235792791,30.817137522951704,13.058634387088002,17.8546167666839,2.1446835017912744
Perch,177.92022743714654,31.659243501740534,5.489605739745784,35.43374836233133,11.048610731908418,2.4737594828850424
Bream,180.20900511953508,17.107104861069846,38.6535695669134,27.26627558550396,13.721390549703068,2.7233878333034225
Bream,673.5619731409816,18.741657603033662,19.872994678260667,8.8670367950192,11.043101754147187,3.290866769306676
Parkki,595.3848542571814,7.124291572773082,26.858378528635402,37.286034456497774,4.467799085378722,5.248477488074736
Parkki,496.0730801955227,19.929460015729816,42.01248468006679,44.64324867660266,8.733283601591125,3.504234388889169
Parkki,207.61944273997105,24.422795320309444,53.963346170450286,17.54062261781217,7.645709321746245,2.8770512615920465
Perch,901.9696486866052,21.407894187399428,30.95558096258264,27.90124681066802,8.209801290308977,1.982634438646489
Perch,161.499803365528,20.24405264715778,33.671406282412484,64.30100738055282,16.671368609638193,4.9156211698233685
Pike,940.9305332211467,35.4726684589009,48.55504491145483,35.619535328419445,4.520738237085089,2.478016443771595
Bream,556.3816534947257,4.0682775001415905,30.284210473695712,33.171145671943265,6.914265898148956,1.7729646159805261
Perch,355.38363975500897,12.801034308835739,17.7739493738451,29.825901581680196,18.295012447048737,7.112648768257216
Whitefish,515.2605286538768,21.314271360252967,17.16406040096083,46.99253019953586,13.855317238167245,5.539221947964814
Perch,406.85962339733055,31.104406869195408,17.05890861667036,20.099239299281503,8.537814237734757,4.734036922009519
Pike,308.43525282250584,15.914097320199714,23.39465052403993,34.76964537432955,9.737157263543487,7.0295391040655275
Whitefish,272.71733760101756,17.891837564204124,16.016879118032517,36.4343991829966,9.36733401134293,4.287872278337161
Bream,158.62159777855786,28.67503259321143,18.056937645877255,40.634927140303525,3.7079553131377967,4.0136024010940545
Bream,612.6190138313042,24.333281174510123,36.365369532486355,23.3430811096997,14.910680757963537,3.8607431890862087
Perch,31.084863208828608,31.794726059569136,23.585586634850543,32.75861686672798,10.417591383285803,4.636156972734771
Roach,1327.3899894171714,20.829356440719163,29.081549200679746,47.95305451915212,7.694819541781382,2.48272643953055
Roach,99.4154308499185,31.43856003666608,25.12134330215846,33.31432742235601,5.811663917042332,6.756636886831834
Bream,389.15934169197135,27.457760685653422,24.938852011541897,46.34704859721221,12.3879120519481,6.408090359220676
Roach,891.2918000471204,27.576154765701578,21.509507292943823,28.578916169848586,4.18325026561742,1.2715713195886473
Roach,349.8201871285046,7.516773277118908,50.37644949805809,27.260508989904636,2.9553701609780383,4.468388778562399
Bream,220.33562706010233,37.74736522846808,35.87427216698549,23.54479194488512,10.035363487023602,4.923538546622279
Perch,627.5811412174704,21.355997527377205,32.80242507508672,5.234378387396408,8.601470938420668,6.771621913967849
Bream,715.1955492248554,16.81560801732071,19.27209248791379,29.225342004362368,10.279249571867824,3.6303763653414958
Perch,41.18185845758791,32.829906158797456,16.887119516677554,30.46870699704332,4.883111326419082,2.1658245580244775
Pike,300.00063324428356,13.069322986896758,23.919964284858057,10.668820956081042,10.603243307428967,4.138989731543433
Bream,30.642144874270627,37.514244157879986,10.90904701215926,29.20630049118957,7.717600869926036,4.338302362895758
Parkki,623.0473941829218,12.93362801095306,32.97056528033519,48.6865299920969,5.207617079088417,7.276956159813463
Whitefish,946.8483437981217,10.434718409818007,40.82956900375092,34.34706969758449,11.971949117002051,4.0457454865934706
Bream,838.433859560016,13.243489860714796,32.588216425095624,34.94470409500937,18.78412806425696,6.577847154682582
Parkki,305.7219987217009,20.049270131452293,51.05069859914532,22.86293462624544,12.874591046484108,3.5590948369705053
Perch,5.771377252429147,18.046730264794263,21.36629015886685,23.211415221089645,6.851304567789771,2.836075852352112
Perch,740.9450788623968,25.675952941925022,28.94642097363944,10.21285897891293,6.312347578795274,5.273844475995922
Smelt,462.3840502147269,18.276989638538556,20.151198388034906,33.811264775739716,12.697553336765143,0.7956376446486786
Bream,1033.3804049310672,19.74718278508603,30.935499942825142,38.10727984791096,11.338707583678993,2.7219737808960396
Parkki,303.31978691867425,32.21626720452659,29.44737367329585,23.533568984307962,5.483803333749849,3.809982236791621
Perch,731.0680134310678,15.828521615734196,19.848435803503627,44.19885480587895,9.442736718622276,3.8857926498797504
Perch,516.3860819127303,24.237493535984054,24.64500636676968,27.828968014570858,4.392680321670388,5.94437709486942
Roach,58.58216514724495,20.60332316374619,40.69111125279015,40.94797684229653,12.221388429077852,0.8933428325416788
Parkki,106.82546692485442,11.278132302299019,52.179479648639315,19.02308296449981,18.846413306144104,3.12087200365999
Perch,201.631378670824,51.40120434643575,22.845384678417194,28.31359895728813,4.96768677150925,4.724565994340494
Roach,999.3102635693984,22.04060718652612,15.438480682789189,20.17144232962896,15.582192813556247,5.62111448686816
Perch,582.8235097327245,33.751701277045186,28.404295054253534,52.71613936729935,2.9184836012929702,4.874682633491967
Roach,628.9135663326676,25.63914320852486,6.071197980168257,27.15286167892362,9.499855481130279,2.0666532025873057
Smelt,198.0918843549693,20.72004979634785,32.6842341117552,41.97135173115602,10.445009533246292,3.3124378352263832
Roach,194.15545355556404,39.734664908017045,17.50521151402109,45.925998076809876,12.960376724694559,4.763759106304859
Perch,415.4243031719426,20.760491263937695,41.394310057864246,47.65590259983826,7.2959701431421955,3.798574588185094
Roach,333.947477917338,36.9632215377881,27.403261147880112,33.50078005862503,3.542370750622217,3.974641903092169
Roach,433.44800310698577,23.775533848542015,35.74853846507949,52.79403733181347,6.043352189143164,1.5755175901743117
Pike,383.8973473256887,25.382278075659258,33.286167690359555,56.67366112254452,8.32603975262408,5.634709637321659
Roach,385.1526261354791,15.697786077021329,17.872503830317555,27.068327890743426,8.419790013306931,6.298940866888056
Bream,466.22621911706517,31.103798413791342,41.85939062078149,26.87682494051735,10.746125633536918,9.083457888580826
Parkki,532.7865149697125,36.525945271739644,32.874329358059484,36.78712941781464,0.0009342543871859732,2.7066982792399847
Smelt,255.09046855546168,24.787768660793123,14.79109699206126,44.88876514883044,15.761434675988355,1.2446791728849833
Whitefish,274.3198380773006,29.405472291319015,32.32463139350737,14.486548605889666,16.439803539651486,5.0733341190765255
Perch,1207.6422860610448,6.742674048939691,21.53107492531926,29.47626885827687,11.553794970237014,3.2405067483769185
Perch,197.1222516099801,11.687486630535425,25.58705493866922,59.6626905173414,15.079193233443338,4.08674052775662
Whitefish,958.2860975580268,31.313456339184846,24.910642222748578,25.20161390068055,13.629480953492765,0.8979168220372764
Whitefish,35.121792590274254,24.203204101084996,34.920985897928105,39.83277665767287,4.328218193010253,5.540467686543423
Bream,410.8556899980647,28.7511545199741,31.30590188987915,26.903032847053957,8.751715468297304,5.660602855859881
Perch,475.26485001944786,24.933175248367874,38.984750061634344,37.89345840072726,11.944925445552924,4.456793405107357
Roach,230.13025454781675,23.7041075849798,32.056668576707494,38.50889006973831,16.734418631854602,3.503970424062423
Smelt,44.13085889326794,25.267115294340385,38.76955474415907,13.159335109469755,11.055269454688949,5.299196345111956
Roach,151.68901039818803,29.382972081518854,22.421055188491405,12.62546427258837,11.065798803985476,3.3548757467055355
Perch,336.0148104485954,42.77576920948691,54.40465818844949,32.784963661262545,14.55500409303105,6.467698348497847
Bream,249.19364688791035,30.403921621980203,29.861698248177824,28.418710960974725,1.008155419973197,4.739137701547956
Bream,202.40109398471034,25.897304058421724,16.79959556810851,43.16272029406232,10.416148357288323,4.113564124645236
Whitefish,215.14652947189524,22.273241022467957,26.642439951188166,24.83241362276181,6.056619766154121,4.4712789080369895
Bream,1.0241864439142887,27.251493569783513,33.02402149340072,23.66206046022155,14.482314760993681,4.419969639495085
Perch,275.48640845725504,21.798304476217854,27.544568981456848,29.807376348917582,10.01469184526426,5.215457844582669
Perch,379.9212005059047,37.68271838338224,16.949686501889797,36.76317906526132,0.07163548950910403,6.265723952049847
Perch,695.6371326493088,20.594903140331045,29.214225931710285,48.078188461039545,5.304624408982638,5.433953482949138
Perch,490.53773204633364,16.09820664138537,22.503478988943822,34.08945281827002,16.985314789782088,5.69974087622694
Pike,692.0191750972156,42.71949655677322,32.670446044436794,33.65542116985512,14.078625032816753,3.3193877131009404
Perch,178.2345868557793,24.161147628129214,32.898875869164954,32.01264964419824,10.119459545454944,3.8481829439049426
Roach,231.4720291279945,31.668027889497132,32.06076865627399,32.30681343146202,8.347434055037192,7.636657977103203
Perch,50.60100654968841,34.88943613479181,42.06443215762181,17.180644178284517,7.948375518771272,4.510014141854823
Roach,893.1587315814083,38.615030195325176,23.692077602365757,17.814786126651647,13.425482274835069,3.3122165686718232
Parkki,385.8267730229266,5.598881469771694,23.596624535243855,24.232051700778527,5.852003434560408,4.2206826779661855
Perch,86.74730726105525,26.688995190862652,45.49234107664403,23.568937417142337,9.949156628939026,1.6843518399962307
Roach,839.0503194542125,14.695835182467604,21.463281302827202,43.859300117839084,5.003169837944958,2.5074405875004864
Parkki,257.2445995177581,29.619360809950447,46.70247266203985,21.53140846064128,8.100612207491558,2.055069985473255
Whitefish,68.30972673088911,34.440721484469876,8.710927189245993,36.05053142840594,9.091756971482003,4.988256285778421
Perch,218.39215344468647,42.07050940642915,30.270565351180185,15.289216963150418,6.124548583918527,4.6465497261686926
Perch,56.82909561841376,21.43221662546787,18.758488515457763,40.704505538093485,8.124850963592062,0.7656746718494256
Smelt,221.13366370296114,17.79464840476799,9.243314648285605,21.895186021931522,10.097897876157763,3.83327986630532
Perch,203.60908307421093,7.382501705552862,30.52276165926271,30.859116563400022,8.749410907984238,5.198489807662598
Pike,29.437407185260497,32.70588126903275,22.36476226404544,24.42774893289215,3.186843366652229,5.930654266551341
Smelt,725.3565066544062,30.449745648611195,25.7783827125583,34.267567554183216,2.7711221242004296,5.073867909804737
Bream,290.0358307110901,20.214558281007502,17.24240966117076,17.09329896632781,0.8140459899585579,5.810306772341502
Roach,707.3656012247765,28.874585651596103,22.111412843206626,29.852705800652558,10.014527972449336,4.810759137904302
